address,phone,gps_coordinates,name
"C/ Esparteros, nº 1, Madrid, 28012",91 532 45 72,"40.4163611, -3.7049219",Puerta del Sol
"C/ Montera, nº 47, Madrid, 28013",91 531 37 11,"40.419738, -3.7018893",Montera
"Calle Alcalá 18, Madrid, 28014",Unavailable,"40.4176374, -3.6991939",Alcalá Canalejas
"Plaza de Isabel II, nº 1, Madrid, 28013",91 559 39 61,"40.4177145, -3.7092233",Plaza Isabel II
"C/ Gran Vía, nº 52, Madrid, 28013",(91) 547.99.09,"40.4212531, -3.7067257",Gran Vía
"Calle Fuencarral 103, Madrid, 28004",914457594,"40.42829390000001, -3.7022263",Fuencarral Glorieta
"C/ Princesa, nº 3, Madrid, 28008",91 542 44 06,"40.4250332, -3.7134458",Princesa
"C/ Atocha, 127 Hotel Nacional, Madrid, 28012",91 369 35 69,"40.409946, -3.692725799999999",Atocha
"Centro Comercial Príncipe Pío Paseo de la Florida, nº 2 Local G53,F6, Madrid, 28008",91 547 01 08,"40.4221538, -3.7205879",Príncipe Pío
"C/ Isaac Peral, nº 4, Madrid, 28015",91 544 38 12,"40.4349613, -3.7180652",Moncloa
"Calle Alcalá 149 y Calle Goya 70, Madrid, 28009",Unavailable,"40.4245791, -3.6765915",Goya
"Glorieta de Cuatro Caminos, nº 5, Madrid, 28020",91 553 99 79,"40.44746629999999, -3.7042083",Cuatro Caminos
"Avda. Albufera 1 esquina Peña Prieta, Madrid, 28038",Unavailable,"40.3983467, -3.6687014",Madrid Albufera
"C/ Manuel Machado, nº6 y C/ Alcalde Luis Marichalar, Madrid, 28030",91 439 92 50,"40.4114283, -3.6587167",Moratalaz
"C/ La Oca, 105 - Glorieta del Ejército Carabanchel, Madrid, 28025",91 525 17 20,"40.3878328, -3.7444099",Carabanchel
"Av. ALBERTO ALCOCER, 37, Madrid, 28016",91 434 63 22 / 639 529 939,"40.45885639999999, -3.6815579",Alberto Alcocer
"Avenida de los Poblados, nº 118 Junto a Gasolinera Cepsa, Madrid, 28054",915116050,"40.373, -3.725611",Avenida de los Poblados
"Centro Comercial Madrid-Sur Avda. Pablo Neruda, 91-97 (Vallecas), Madrid, 28018",91 785 03 40,"40.3813158, -3.6634111",Madrid-Sur
